critical_high_ratio,content_type_encoded,has_forms,response_time_ms_scaled,status_category_encoded,waf_detected,log_response_size,path_depth_scaled,security_score,input_count,has_inputs,subdomain_count,num_query_params,total_headers,has_frame_options,has_comments,has_javascript,response_size_scaled,has_csp,url_length,security_headers_count_scaled,params_per_input,has_hsts,has_https,vuln_density_per_kb,input_count_scaled,interactivity_score,security_headers_count,server_header_encoded,path_depth,form_count,form_count_scaled,domain_tld_encoded,response_time_ms,response_size,has_xss_protection,has_sql_injection,has_xss,has_command_injection,has_path_traversal,has_idor
0.0,0,0.0,0.16418238954006778,0,0,9.801288700215881,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.006626203579874837,0.0,39,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,1040.049,18056.0,0.0,0,0,0,0,0
0.0,0,1.0,0.16859597535844603,0,0,10.694147031910097,0.15384615384615385,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0161829103768807,0.0,39,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,2.0,1.0,0.0625,8,1065.917,44096.0,0.0,0,0,0,0,0
0.0,0,1.0,0.14085716518392616,0,0,11.197022228573097,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.026758412030587334,0.0,46,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,903.34,72912.0,0.0,0,0,0,0,0
0.0,0,1.0,0.15009348243659695,0,0,12.26192353827018,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0776155796340853,0.0,44,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,957.474,211487.0,0.0,0,0,0,0,0
0.0,0,0.0,0.025465646270922647,2,0,6.3080984415095305,0.23076923076923078,100.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.00020074956290177439,0.0,46,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,31,3.0,0.0,0.0,8,227.031,548.0,0.0,0,0,0,0,0
0.0,0,0.0,0.1402494184433562,0,0,9.801233318497372,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.006625836578845767,0.0,35,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,899.778,18055.0,0.0,0,0,0,0,0
0.0,0,0.0,0.10719632198906875,0,0,9.801233318497372,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.006625836578845767,0.0,39,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,706.054,18055.0,0.0,0,0,0,0,0
0.0,0,1.0,0.12046437856786751,0,0,11.077609211892549,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.023746434585002578,0.0,45,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,783.818,64705.0,0.0,0,0,0,0,0
0.0,0,1.0,0.3518305939231469,0,0,12.164672358831224,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.070422726465325,0.0,44,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,2139.8540000000003,191888.0,0.0,0,0,0,0,0
0.0,0,0.0,0.24823519696488344,0,0,10.432084329787237,0.15384615384615385,30.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,0.012451977915346074,1.0,45,0.875,1.0,1.0,0,0.0,0.006097560975609756,2.0,7.0,33,2.0,0.0,0.0,8,1532.682,33930.0,1.0,0,0,0,0,0
0.0,0,1.0,0.13752940200928374,0,0,11.124892529791104,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.024896248809081662,0.0,44,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,883.8359999999999,67838.0,0.0,0,0,0,0,0
0.0,0,1.0,0.11439970762638554,0,0,11.083618382376493,0.23076923076923078,90.0,4.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.023889564986340223,0.0,46,0.125,1.0,0.0,0,0.0,0.024390243902439025,4.0,1.0,31,3.0,1.0,0.0625,8,748.2729999999999,65095.0,0.0,0,0,0,0,0
0.0,0,0.0,0.02536771066477802,2,0,6.3080984415095305,0.23076923076923078,100.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.00020074956290177439,0.0,44,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,31,3.0,0.0,0.0,8,226.457,548.0,0.0,0,0,0,0,0
0.0,0,0.0,0.050572479685186515,0,0,14.018768086504998,0.15384615384615385,30.0,8.0,1.0,1.0,1.0,23.0,1.0,0.0,1.0,0.4497179230090561,1.0,54,0.875,1.0,1.0,0,0.0,0.04878048780487805,2.0,7.0,9,2.0,0.0,0.0,8,374.182,1225387.0,1.0,0,0,0,0,0
0.0,0,0.0,0.12322005448222606,0,0,9.801233318497372,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.006625836578845767,0.0,39,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,799.969,18055.0,0.0,0,0,0,0,0
0.0,0,0.0,0.15171641533842212,0,0,8.897682313454224,0.15384615384615385,90.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.002683878525595386,0.0,35,0.125,1.0,0.0,0,0.0,0.006097560975609756,2.0,1.0,31,2.0,0.0,0.0,8,966.986,7314.0,0.0,0,0,0,0,0
