critical_high_ratio,content_type_encoded,has_forms,response_time_ms_scaled,status_category_encoded,waf_detected,log_response_size,path_depth_scaled,security_score,input_count,has_inputs,subdomain_count,num_query_params,total_headers,has_frame_options,has_comments,has_javascript,response_size_scaled,has_csp,url_length,security_headers_count_scaled,params_per_input,has_hsts,has_https,vuln_density_per_kb,input_count_scaled,interactivity_score,security_headers_count,server_header_encoded,path_depth,form_count,form_count_scaled,domain_tld_encoded,response_time_ms,response_size,has_xss_protection
0.0,0,1.0,0.06517000358642239,0,1,11.590201271377385,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,17.0,1.0,1.0,1.0,0.05107642410187674,1.0,71,0.25,0.0,0.0,1,0.009478585247100423,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,459.738,108033.0,0.0
0.0,0,0.0,0.08342578067815802,1,0,5.099866427824199,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.659194224400207e-05,0.0,19,0.0,0.0,0.0,0,12.56441717791411,0.0,0.0,0.0,22,0.0,0.0,0.0,4,566.735,163.0,0.0
0.0,0,1.0,0.032641391545529655,0,0,10.459353461311817,0.0,0.42000000000000004,3.0,1.0,2.0,0.0,17.0,1.0,1.0,1.0,0.01648476080383716,0.0,30,0.125,0.0,0.0,1,0.0,0.06818181818181818,0.925,1.0,7,0.0,1.0,0.2,19,269.088,34868.0,0.0
0.8518518518518519,0,0.0,0.074942577999568,0,1,14.388479085666978,0.0,1.1,0.0,0.0,0.0,0.0,31.0,1.0,1.0,1.0,0.83850305303992,0.0,17,0.625,0.0,1.0,1,0.015589310090706463,0.0,0.2,5.0,8,0.0,0.0,0.0,4,517.015,1773523.0,1.0
0.0,0,0.0,0.04369702477088357,1,0,5.081404364984463,0.0,0.22000000000000003,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,7.517357294318722e-05,0.0,27,0.125,0.0,0.0,1,0.0,0.0,0.0,1.0,29,0.0,0.0,0.0,19,333.885,160.0,0.0
0.75,0,0.0,0.04919523889633738,2,1,9.109303827798412,0.0,0.7000000000000001,0.0,0.0,1.0,0.0,23.0,1.0,0.0,1.0,0.004272601123821276,0.0,22,0.625,0.0,0.0,1,0.9063952201814561,0.0,0.2,5.0,8,0.0,0.0,0.0,4,366.11,9038.0,0.0
0.0,0,1.0,0.12278582779644545,0,1,11.613973696079707,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,17.0,1.0,1.0,1.0,0.052305204706149334,1.0,83,0.25,0.0,0.0,1,0.009255911490346373,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,797.424,110632.0,0.0
0.0,0,1.0,0.05662333044531354,0,1,11.545537852697706,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,18.0,1.0,1.0,1.0,0.04884532919169497,1.0,70,0.25,0.0,0.0,1,0.009911531834988482,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,409.646,103314.0,0.0
0.5,0,1.0,0.11336763013236323,0,0,12.237663362616377,0.16666666666666666,1.3599999999999999,1.0,1.0,0.0,0.0,24.0,1.0,1.0,1.0,0.09759184532209984,1.0,23,1.0,0.0,1.0,1,0.009921615363001289,0.022727272727272728,0.9000000000000001,8.0,8,1.0,1.0,0.2,7,742.224,206418.0,1.0
2.0,0,0.0,0.0998026955837184,1,1,5.117993812416755,0.0,0.8800000000000001,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,7.801031154481693e-05,1.0,20,0.5,0.0,1.0,1,6.168674698795181,0.0,0.0,4.0,8,0.0,0.0,0.0,4,662.72,166.0,0.0
1.2,0,1.0,0.03882737296779352,0,1,10.895201106056144,0.0,0.9,11.0,1.0,1.0,0.0,18.0,1.0,1.0,1.0,0.025490460284477604,0.0,23,0.625,0.0,0.0,1,0.09496253431263448,0.25,0.9716666666666668,5.0,26,0.0,4.0,0.8,4,305.344,53916.0,1.0
0.3333333333333333,0,0.0,0.14464662478753604,0,1,8.99850761180784,0.0,1.12,0.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,0.0038243964247637826,0.0,15,0.75,0.0,1.0,1,0.37972805933250925,0.0,0.2,6.0,3,0.0,0.0,0.0,4,925.55,8090.0,1.0
0.0,0,1.0,0.09821132729362973,0,0,10.13034420176222,0.16666666666666666,0.42000000000000004,1.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,0.011862768042248492,0.0,33,0.125,0.0,0.0,1,0.12242945958871354,0.022727272727272728,0.9000000000000001,1.0,17,1.0,1.0,0.2,4,653.393,25092.0,0.0
0.0,0,1.0,0.06206387517202714,0,1,11.528985804516742,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,17.0,1.0,1.0,1.0,0.04804347774696764,1.0,55,0.25,0.0,0.0,1,0.010076954870200161,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,441.533,101618.0,0.0
0.0,0,0.0,0.020186678232395394,2,0,5.886104031450156,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0001692587365639058,0.0,17,0.0,0.0,0.0,0,5.704735376044568,0.0,0.0,0.0,1,0.0,0.0,0.0,4,196.091,359.0,0.0
0.0,0,1.0,0.06111540124422581,0,1,11.592115501530744,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,18.0,1.0,1.0,1.0,0.05117429158363296,1.0,40,0.25,0.0,0.0,1,0.009460458240946046,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,435.974,108240.0,0.0
0.0,0,1.0,0.08810996905985573,0,0,10.913760309880715,0.3333333333333333,1.3399999999999999,23.0,1.0,2.0,0.0,27.0,1.0,1.0,1.0,0.025967977949085272,1.0,31,0.875,0.0,1.0,1,0.0,0.5227272727272727,0.9758333333333334,7.0,26,2.0,4.0,0.8,4,594.189,54926.0,1.0
0.0,0,1.0,0.05228294040225941,0,1,11.527666283291726,0.3333333333333333,0.6400000000000001,4.0,1.0,1.0,0.0,18.0,1.0,1.0,1.0,0.04798012391819791,1.0,51,0.25,0.0,0.0,1,0.010090260533680185,0.09090909090909091,0.9466666666666668,2.0,8,2.0,2.0,0.4,4,384.207,101484.0,0.0
0.0,0,0.0,0.004450439635324656,1,1,5.476463551931511,0.0,0.2,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0001120511747643734,0.0,24,0.0,0.0,0.0,1,8.605042016806722,0.0,0.0,0.0,17,0.0,0.0,0.0,4,103.861,238.0,0.0
0.0,0,0.0,0.07259127035448254,0,0,8.120291313968561,0.0,1.12,0.0,0.0,1.0,0.0,22.0,1.0,0.0,1.0,0.0015885736169126354,0.0,26,0.75,0.0,1.0,1,1.5233561440047605,0.0,0.2,6.0,17,0.0,0.0,0.0,0,503.234,3361.0,1.0
0.0,0,0.0,0.033448421888846835,0,0,11.25630268658185,0.3333333333333333,0.22000000000000003,0.0,0.0,1.0,0.0,23.0,0.0,1.0,1.0,0.03657690752941343,0.0,36,0.125,0.0,0.0,1,0.01323595941317133,0.0,0.2,1.0,13,2.0,0.0,0.0,16,273.818,77365.0,0.0
